省份,城市,河流,流域,断面名称,监测时间,pH,溶解氧,高锰酸钾,氨氮,总磷,总氮
江苏省,苏州市,太湖,太湖流域,乌龟山南,2022-9-1 0:00,7.819,7.329,2.747,0.0798,0.0511,1.015
江苏省,无锡市,太湖,太湖流域,五里湖心,2022-9-1 0:00,7.622,3.851,6.171,0.1818,0.1434,1.099
江苏省,无锡市,太湖,太湖流域,兰山嘴,2022-9-1 0:00,8.109,7.108,8.92,0.1942,0.1185,1.254
江苏省,无锡市,太湖,太湖流域,拖山,2022-9-1 0:00,7.231,6.934,4.239,0.0568,0.0815,0.734
江苏省,苏州市,太湖,太湖流域,胥湖心,2022-9-1 0:00,8.614,7.949,2.645,0.0564,0.0134,0.106
江苏省,无锡市,太湖,太湖流域,锡东水厂,2022-9-1 0:00,8.44,7.209,2.067,0.025,0.0651,1.388
江苏省,苏州市,太湖,太湖流域,乌龟山南,2022-9-1 4:00,7.803,7.249,2.563,0.088,0.0447,1.039
江苏省,无锡市,太湖,太湖流域,五里湖心,2022-9-1 4:00,7.561,3.087,6.009,0.2077,0.1453,1.096
江苏省,无锡市,太湖,太湖流域,兰山嘴,2022-9-1 4:00,8.009,6.644,6.952,0.2498,0.1148,1.201
江苏省,无锡市,太湖,太湖流域,拖山,2022-9-1 4:00,7.153,6.607,4.007,0.0635,0.0793,0.683
江苏省,苏州市,太湖,太湖流域,胥湖心,2022-9-1 4:00,8.525,7.541,2.832,0.0553,0.0127,0.097
江苏省,无锡市,太湖,太湖流域,锡东水厂,2022-9-1 4:00,8.39,7.006,2.117,0.025,0.0675,1.396
江苏省,苏州市,太湖,太湖流域,乌龟山南,2022-9-1 8:00,7.801,7.329,2.563,0.088,0.0389,0.986
江苏省,无锡市,太湖,太湖流域,五里湖心,2022-9-1 8:00,7.602,4.633,5.982,0.2077,0.1385,1.167
江苏省,无锡市,太湖,太湖流域,兰山嘴,2022-9-1 8:00,8.029,6.819,6.365,0.2498,0.1136,1.045
江苏省,无锡市,太湖,太湖流域,拖山,2022-9-1 8:00,7.155,6.515,4.047,0.0635,0.0848,0.762
江苏省,苏州市,太湖,太湖流域,胥湖心,2022-9-1 8:00,8.555,7.654,2.739,0.0553,0.0111,0.101
江苏省,无锡市,太湖,太湖流域,锡东水厂,2022-9-1 8:00,8.4,6.909,1.965,0.025,0.0647,1.397
江苏省,苏州市,太湖,太湖流域,乌龟山南,2022-9-1 12:00,7.93,7.741,2.625,0.0726,0.0379,0.979
江苏省,无锡市,太湖,太湖流域,兰山嘴,2022-9-1 12:00,8.502,9.187,8.782,0.1875,0.1187,0.854
江苏省,无锡市,太湖,太湖流域,拖山,2022-9-1 12:00,7.359,7.991,4.275,0.0437,0.0771,0.775
